Stock,Report Date,Rate,Adjusted Float,Lender Count,Borrow Status,Last Report Date,Last Rate,Change in Rate,Firm Long,Firm Short,Intrafirm?,Close Price,IsFilterMatch
TMV,45831,-10.6458,10110,5,HTB,45828,-14.9405,4.2947,4903,-8067,TRUE,39.39,TRUE
PSNY,45831,-15.5024,418986,7,HTB,45828,-19.7842,4.2818,499429,-1741,TRUE,1.05,TRUE
PSI,45831,2.6681,3880,7,HTB,45828,-1.3173,3.9854,0,0,FALSE,56.2,TRUE
ADSE,45831,-113.8023,144,5,HTB,45828,-117.4589,3.6566,0,0,FALSE,12.98,TRUE
SOFX,45831,-28.5129,20309,4,HTB,45828,-32.1351,3.6222,700,0,FALSE,14.35,TRUE
UP,45831,-37.7053,42569,13,HTB,45828,-41.2382,3.5329,22493,-7123,TRUE,1.35,TRUE
AIRS,45831,-3.716,77879,14,HTB,45828,-7.2473,3.5313,2000,-7997,TRUE,4.77,TRUE
CLGN,45831,-67.4364,149948,9,HTB,45828,-70.8253,3.3889,0,0,FALSE,1.47,TRUE
VGZ,45831,-0.701,537822,7,HTB,45828,-3.9819,3.2809,13700,0,TRUE,0.9945,TRUE
PACB,45831,-45.758,926074,20,HTB,45828,-48.992,3.234,334239,-237358,TRUE,1.27,TRUE
LTM,45831,-31.8405,968237,17,HTB,45828,-34.9874,3.1469,0,0,FALSE,37.84,TRUE
IXC,45831,-0.0581,31812,10,HTB,45828,-3.1174,3.0593,0,0,FALSE,40.61,TRUE
HBIO,45831,-12.0494,689003,15,HTB,45828,-15.0833,3.0339,5000,0,FALSE,0.5317,TRUE
OCEA,45831,-2.8591,10058886,8,HTB,45828,-5.8784,3.0193,20517,-15,FALSE,0.0073,TRUE
RDW,45831,-32.822,1169541,23,HTB,45828,-35.79,2.968,4206,-106834,TRUE,15.86,TRUE
KULR,45831,3.3301,1,,HTB,45828,0.3808,2.9493,56302,-8884,TRUE,0.8653,TRUE
VXZ,45831,-9.5694,217,3,HTB,45828,-12.4579,2.8885,41937,-23137,TRUE,60.338,TRUE
CTXR,45831,-25.8872,170860,9,HTB,45828,-28.7582,2.871,1574,-608,TRUE,1.08,TRUE
BCD,45831,-0.7913,18259,7,HTB,45828,-3.64,2.8487,0,-200,FALSE,34.49,TRUE
AFMDQ,45831,-79.9341,600105,8,HTB,45828,-82.6885,2.7544,195,-500,FALSE,0.098,TRUE
FRBA,45831,1.8231,2769199,28,HTB,45828,-0.8693,2.6924,0,0,FALSE,14.59,TRUE
UMAC,45831,-6.665,27865,8,HTB,45828,-9.2489,2.5839,75291,-67657,TRUE,8.22,TRUE
BTCZ,45831,-14.8808,10161,4,HTB,45828,-17.3264,2.4456,3300,0,FALSE,3.73,TRUE
LASE,45831,-11.704,97390,10,HTB,45828,-14.0884,2.3844,2542,-8310,TRUE,2.01,TRUE
SLSR,45831,-0.0776,299282,6,HTB,45828,-2.4584,2.3808,0,0,FALSE,4.43,TRUE
PSTV,45831,-764.9424,2015298,11,HTB,45828,-767.31,2.3676,1,0,FALSE,0.194,TRUE
SBEV,45831,-235.6127,26203,12,HTB,45828,-237.9247,2.312,708,0,FALSE,2.756,TRUE
ETU,45831,-79.7248,795,5,HTB,45828,-82.0113,2.2865,0,-1861,FALSE,13.61,TRUE
UBOT,45831,4.08,280,3,GC,45828,1.8699,2.2101,0,0,FALSE,19.02,TRUE
EQ,45831,-62.5161,17743,11,HTB,45828,-64.6475,2.1314,0,0,FALSE,0.3269,TRUE
GAU,45831,4.08,5217836,14,GC,45828,1.9761,2.1039,384,-4617,TRUE,1.34,TRUE
FNGS,45831,0.0422,11673,10,HTB,45828,-2.0187,2.0609,191,-609,FALSE,60.98,TRUE
ROBN,45831,-27.4884,68182,7,HTB,45828,-29.5164,2.028,3305,-6381,TRUE,37.56,TRUE
GP,45831,-30.0185,61783,8,HTB,45828,-32.0303,2.0118,0,0,FALSE,0.398,TRUE
XAIR,45831,1.8411,2238773,14,HTB,45828,-0.1666,2.0077,15619,-5900,TRUE,0.2318,TRUE
SRDX,45831,2.9022,1774324,28,HTB,45828,0.8951,2.0071,2893,0,FALSE,29,TRUE
KANT,45831,-24.1341,46552,10,HTB,45828,-26.1144,1.9803,0,-2747,FALSE,0.2905,TRUE
NWTN,45831,-25.5225,47026,4,HTB,45828,-27.3614,1.8389,1007,0,FALSE,2.1,TRUE
HIBS,45831,-16.1543,1150,6,HTB,45828,-17.9929,1.8386,1500,-3578,TRUE,11.18,TRUE
CVM,45831,-12.5804,20116,13,HTB,45828,-14.4081,1.8277,335,-758,FALSE,2.55,TRUE
AMDS,45828,-69.8766,16355,5,HTB,45826,-71.6938,1.8172,100,0,FALSE,13.12,TRUE
TESL,45831,-8.9728,2720,3,HTB,45828,-10.7887,1.8159,0,-3,FALSE,22.9351,TRUE
ABTS,45831,-10.7445,174509,4,HTB,45828,-12.5404,1.7959,33,0,FALSE,3.7399,TRUE
AREC,45831,-2.634,1503854,9,HTB,45828,-4.3884,1.7544,100,-30809,TRUE,0.9201,TRUE
CYCN,45831,-25.5793,64304,17,HTB,45828,-27.2431,1.6638,274,0,FALSE,2.95,TRUE
BTCM,45831,1.6787,490194,10,HTB,45828,0.025,1.6537,0,-4551,TRUE,1.95,TRUE
NWPX,45831,4.08,1900723,29,GC,45828,2.4451,1.6349,0,0,FALSE,38.6,TRUE
YCS,45831,-1.3734,129,4,HTB,45828,-3.0029,1.6295,0,0,FALSE,42.54,TRUE
SPCE,45831,-114.6133,103201,14,HTB,45828,-116.2086,1.5953,44398,-277371,TRUE,2.99,TRUE
LCTX,45831,2.9172,821067,14,HTB,45828,1.3246,1.5926,6678,-186533,TRUE,0.95,TRUE
GRRR,45831,-12.5408,7801,7,HTB,45828,-14.1009,1.5601,61789,-25485,TRUE,25.23,TRUE
MULL,45831,-13.1658,955,6,HTB,45828,-14.697,1.5312,0,0,FALSE,21.7306,TRUE
FBRX,45831,-26.0578,9179,11,HTB,45828,-27.5827,1.5249,104,0,FALSE,14.66,TRUE
ANVS,45831,-7.0735,9020,7,HTB,45828,-8.5756,1.5021,41212,-11743,TRUE,2.6,TRUE
COAL,45831,-13.4447,1311,6,HTB,45828,-14.9376,1.4929,0,0,FALSE,17.1501,TRUE
SPXS,45831,1.5429,54670,2,HTB,45828,0.0579,1.485,42603,-89172,TRUE,5.32,TRUE
GTIM,45831,-7.6184,771956,17,HTB,45828,-9.0293,1.4109,0,-3404,FALSE,1.79,TRUE
MULN,45831,-639.0113,439131,5,HTB,45828,-640.4204,1.4091,0,-1,TRUE,1.33,TRUE
TECS,45831,-14.6667,260,2,HTB,45828,-16.0555,1.3888,1481,-1285,TRUE,31.56,TRUE
NUGT,45831,-2.8932,7773,7,HTB,45828,-4.2742,1.381,334,-30208,TRUE,75.64,TRUE
AISP,45831,-15.5975,213282,20,HTB,45828,-16.9549,1.3574,6909,-315490,TRUE,5.24,TRUE
FXE,45831,-1.8836,2761,5,HTB,45828,-3.1825,1.2989,1646,0,FALSE,106.3,TRUE
NVVE,45831,-164.2053,258326,11,HTB,45828,-165.4958,1.2905,3,0,FALSE,1.06,TRUE
NVDS,45831,-20.2469,51432,8,HTB,45828,-21.5079,1.261,398,0,FALSE,16.7,TRUE
AVAH,45831,3.0121,6516109,29,HTB,45828,1.7579,1.2542,200,0,FALSE,4.72,TRUE
GLP,45831,-3.9265,12352,10,HTB,45828,-5.1709,1.2444,0,-1608,FALSE,54,TRUE
OTLY,45831,-44.8925,27104,9,HTB,45828,-46.1325,1.24,20381,-4607,TRUE,12.99,TRUE
RZLV,45831,-53.8915,131786,8,HTB,45828,-55.11,1.2185,8901,-2396,TRUE,1.92,TRUE
SFST,45831,2.5165,1665358,29,HTB,45828,1.3022,1.2143,0,0,FALSE,35.58,TRUE
TUR,45831,-8.7479,23981,10,HTB,45828,-9.9559,1.208,26871,-12172,TRUE,29.96,TRUE
DRN,45831,-1.068,2290,4,HTB,45828,-2.2707,1.2027,5544,0,TRUE,9.66,TRUE
LFGY,45831,-60.5158,22847,6,HTB,45828,-61.7181,1.2023,0,0,FALSE,38.75,TRUE
GOOX,45831,-6.0628,2703,6,HTB,45828,-7.2301,1.1673,851,0,FALSE,22.01,TRUE
NPCE,45831,4.08,2459014,30,GC,45828,2.9431,1.1369,0,0,FALSE,10.41,TRUE
BWET,45831,-9.8101,862,3,HTB,45828,-10.9359,1.1258,0,0,FALSE,12.5099,TRUE
UVIX,45831,-4.2631,168845,8,HTB,45828,-5.3642,1.1011,105554,-8487,TRUE,28.05,TRUE
METU,45831,-0.2887,1120,3,HTB,45828,-1.3865,1.0978,2187,-13996,TRUE,39.16,TRUE
PSQH,45831,-1.2647,669028,14,HTB,45828,-2.3446,1.0799,87833,-39489,TRUE,1.91,TRUE
REW,45831,-0.8621,1,2,HTB,45828,-1.9302,1.0681,0,0,FALSE,8.29,TRUE
EHTH,45831,4.08,2111303,27,GC,45828,3.0166,1.0634,1,-15119,FALSE,4,TRUE
SID,45831,4.08,4525550,19,GC,45828,3.0194,1.0606,393708,0,TRUE,1.43,TRUE
VOC,45831,-14.2268,171314,9,HTB,45828,-15.2863,1.0595,173,-1647,TRUE,2.96,TRUE
PLCE,45831,-22.854,26479,10,HTB,45828,-23.9132,1.0592,161258,-2591,TRUE,3.89,TRUE
RCON,45831,-22.1408,56109,4,HTB,45828,-23.1938,1.053,266,0,TRUE,2.68,TRUE
HYD,45831,-3.3763,6057,7,HTB,45828,-4.4087,1.0324,46931,0,FALSE,49.95,TRUE
AYTU,45831,-28.6301,14189,14,HTB,45828,-29.6622,1.0321,37,0,FALSE,2,TRUE
OPBK,45831,4.08,967706,22,GC,45828,3.0549,1.0251,0,-141,FALSE,11.74,TRUE
QNTM,45831,-332.41,61962,5,HTB,45828,-333.429,1.019,34,0,FALSE,35,TRUE
YALA,45831,4.08,2945261,24,GC,45828,3.0624,1.0176,34912,-38010,TRUE,6.3,TRUE
ZLAB,45831,4.08,7384226,24,GC,45828,3.0828,0.9972,6385,-7275,TRUE,34.55,TRUE
UNTY,45831,4.08,1107425,28,GC,45828,3.0974,0.9826,0,0,FALSE,43.79,TRUE
PSQ,45831,4.08,11363,5,GC,45828,3.1017,0.9783,21000,-17892,TRUE,35.68,TRUE
MVIS,45831,-15.5064,1268191,20,HTB,45828,-16.4498,0.9434,12311,-376536,TRUE,1.14,TRUE
DCGO,45831,4.08,8324881,24,GC,45828,3.1543,0.9257,3243,-370,FALSE,1.59,TRUE
SSO,45831,4.08,26467,7,GC,45828,3.1628,0.9172,73,-16106,TRUE,90.72,TRUE
SMCX,45831,-16.1958,4119,5,HTB,45828,-17.0933,0.8975,13235,-22089,TRUE,43.64,TRUE
SDOW,45831,-1.6946,22186,3,HTB,45828,-2.5797,0.8851,12472,-603,TRUE,47.65,TRUE
VHC,45831,-2.1329,97514,9,HTB,45828,-3.0018,0.8689,50,0,FALSE,7.5,TRUE
ZROZ,45831,4.08,28435,11,GC,45828,3.2306,0.8494,0,-200,FALSE,65.19,TRUE
REKR,45831,-7.6186,279909,19,HTB,45828,-8.4645,0.8459,91747,-115614,TRUE,1.16,TRUE
YBIT,45831,-6.5253,47700,7,HTB,45828,-7.3604,0.8351,3636,-9900,TRUE,10.14,TRUE
IPA,45831,-21.3489,512185,6,HTB,45828,-22.1838,0.8349,23799,-2521,TRUE,1.005,TRUE
