Stock,Report Date,Rate,Adjusted Float,Lender Count,Borrow Status,Last Report Date,Last Rate,Change in Rate,Firm Long,Firm Short,Intrafirm?,Close Price,IsFilterMatch
ATLS,,,,,,,,,6980,0,FALSE,,TRUE
MMTLP/RT,,,,,,,,,0,-7978,FALSE,,TRUE
INBX/RT,,,,,,,,,14368,0,FALSE,,TRUE
GRCL/RT,,,,,,,,,12160,0,FALSE,,TRUE
EPZM/RT,,,,,,,,,92839,0,FALSE,,TRUE
SBT,,,,,,,,,0,-64,FALSE,,TRUE
BFICQ,,,,,,,,,600,-300,FALSE,,TRUE
GTTN/RT,,,,,,,,,3914,0,TRUE,,TRUE
BCTX/PH,,,,,,,,,11588,-184496,TRUE,,TRUE
KDNY/RTS,,,,,,,,,7134,-671,FALSE,,TRUE
XINGF,,,,,,,,,0,-19,FALSE,,TRUE
ZYNE/RT,,,,,,,,,6374,-14030,TRUE,,TRUE
PSTH/WS,,,,,,,,,20234,-6200,TRUE,,TRUE
QTTB/RT,,,,,,,,,0,-209,FALSE,,TRUE
VALPQ,,,,,,,,,343771,-142622,TRUE,,TRUE
CCIHY,,,,,,,,,4500,0,FALSE,,TRUE
AKAOQ,,,,,,,,,20981,-3500,FALSE,,TRUE
TISUQ,,,,,,,,,3697,-30460,FALSE,,TRUE
FLXN/W,,,,,,,,,24973,-752,TRUE,,TRUE
TBRA/RT,,,,,,,,,396,0,FALSE,,TRUE
AUDAQ,,,,,,,,,59,0,FALSE,,TRUE
SVNTQ,,,,,,,,,141898,0,FALSE,,TRUE
BLCM/ESC,,,,,,,,,1066,0,FALSE,,TRUE
APTX,,,,,,,,,20653,0,FALSE,,TRUE
EQOSQ,,,,,,,,,36344,-2100,FALSE,,TRUE
UNISQ,,,,,,,,,11494,0,FALSE,,TRUE
LIWA,,,,,,,,,5325,0,FALSE,,TRUE
EVEIQ,,,,,,,,,750,0,FALSE,,TRUE
NIHD/ESC,,,,,,,,,0,-9918,FALSE,,TRUE
FNBCQ/RT,,,,,,,,,3101,0,FALSE,,TRUE
SMRTQ,,,,,,,,,2400,0,FALSE,,TRUE
CINC/R,,,,,,,,,1108,-3004,FALSE,,TRUE
PDLI,,,,,,,,,30258,-100,FALSE,,TRUE
ELVN/RT,,,,,,,,,9157,-37820,FALSE,,TRUE
OCUP/RT,,,,,,,,,0,-23,TRUE,,TRUE
PSTH/ES,,,,,,,,,470806,-259899,TRUE,,TRUE
LKM,,,,,,,,,54591,-14648,TRUE,,TRUE
ABMD/RT,,,,,,,,,3828,-100,FALSE,,TRUE
TOGI/RT,,,,,,,,,53374,0,TRUE,,TRUE
SIFYR,,,,,,,,,0,0,TRUE,,TRUE
RAIN/RT,,,,,,,,,2559,0,FALSE,,TRUE
MBT,,,,,,,,,23433,-7303,TRUE,5.5,TRUE
CHRS/RT,,,,,,,,,7074,-1000,TRUE,,TRUE
CORZ/RT,,,,,,,,,148864,-25958,TRUE,,TRUE
QIWI,,,,,,,,,2900,-3654,FALSE,,TRUE
RNAC/RT,,,,,,,,,3982,-147,FALSE,,TRUE
AABA/ESC,,,,,,,,,29070,-54333,TRUE,,TRUE
CARM/RT,,,,,,,,,328374,-62432,FALSE,,TRUE
PRVL/RT,,,,,,,,,1131,-100,TRUE,,TRUE
ACGN,,,,,,,,,746,0,FALSE,,TRUE
ONCT/RT,,,,,,,,,0,-957,TRUE,,TRUE
MRTX/RT,,,,,,,,,2250,-5192,TRUE,,TRUE
SRAX/ESC,,,,,,,,,70826,-67304,TRUE,,TRUE
BGG/ESC,,,,,,,,,16901,-142709,TRUE,,TRUE
SGYPQ,,,,,,,,,290126,-11546,TRUE,,TRUE
IOGPQ,,,,,,,,,219465,-800,FALSE,,TRUE
OZON,,,,,,,,,56300,-40811,TRUE,11.6,TRUE
ARAV,,,,,,,,,67193,0,FALSE,0.0401,TRUE
PLXPQ,,,,,,,,,5110,0,FALSE,,TRUE
SPWRQ,,,,,,,,,1063464,-43456,TRUE,,TRUE
PRTK/RT,,,,,,,,,1991,-44,TRUE,,TRUE
PIXY,,,,,,,,,2,-2,FALSE,,TRUE
NBEVQ,,,,,,,,,231748,0,FALSE,,TRUE
RSX,,,,,,,,,533546,-758417,TRUE,,TRUE
AXLA,,,,,,,,,30,0,FALSE,,TRUE
BURU/W,,,,,,,,,2838,-4217,TRUE,,TRUE
CBIO/RT,,,,,,,,,25931,-2765,TRUE,,TRUE
SFTGQ,,,,,,,,,23503,0,FALSE,,TRUE
NSTGQ/W,,,,,,,,,252159,0,FALSE,,TRUE
GOLLQ,45804,-77.6962,178166,6,HTB,45800,-77.6962,0,421700,0,FALSE,,TRUE
CKPT,45807,2.5374,572190,23,HTB,45806,2.5374,0,8,-8,TRUE,,TRUE
TUPBQ,45819,-2.5096,555275,9,HTB,45818,-2.5096,0,1091931,-89218,TRUE,,TRUE
PLYA,45821,3.5066,119108,9,HTB,45820,3.5066,0,0,-3379,FALSE,13.48,TRUE
JRJCY,45824,-13.6017,18405,4,HTB,45821,-13.6017,0,152,0,FALSE,,TRUE
DADA,45824,-12.7102,11036,10,HTB,45821,-12.7478,0.0376,4402,-32471,TRUE,,TRUE
X,45825,4.08,33114508,37,GC,45824,4.08,0,0,0,FALSE,,TRUE
NOVS,45826,2.367,166932,,HTB,45825,2.3553,0.0117,142,-6115,FALSE,,TRUE
HYZN,45826,-206.6137,2216,4,HTB,45825,-206.6137,0,259,0,FALSE,,TRUE
SPMO,45828,4.08,51553,9,GC,45826,2.9923,1.0877,0,0,FALSE,107.2,TRUE
AVL,45828,1.3085,5158,4,HTB,45826,1.295,0.0135,0,0,FALSE,32.53,TRUE
NFBK,45828,4.08,9413428,32,GC,45826,4.08,0,0,0,FALSE,11.62,TRUE
PEX,45828,-2.3261,2248,3,HTB,45826,-2.5917,0.2656,0,0,FALSE,27.728,TRUE
REAI,45828,-12.46,25530,3,HTB,45826,-12.46,0,0,0,FALSE,19.6611,TRUE
MCHS,45828,-6.1084,44745,1,HTB,45826,-5.4485,-0.6599,0,0,FALSE,28.53,TRUE
LIVR,45828,-4.8666,496,4,HTB,45826,-7.4961,2.6295,0,0,FALSE,26.0703,TRUE
INRO,45828,-23.4048,49923,2,HTB,45826,-23.4048,0,0,0,FALSE,27.86,TRUE
FRNW,45828,-1.4689,12150,4,HTB,45826,-1.6119,0.143,0,0,FALSE,15.1269,TRUE
EFAD,45828,-1.8603,28,1,HTB,45826,-1.42,-0.4403,0,0,FALSE,42.3801,TRUE
CORO,45828,-10.5391,1,,HTB,45826,-9.5847,-0.9544,0,0,FALSE,27.6,TRUE
CAFG,45828,-1.6119,17030,6,HTB,45826,-5.1322,3.5203,0,0,FALSE,24,TRUE
BELT,45828,-4.7844,7363,6,HTB,45826,-4.7145,-0.0699,0,0,FALSE,31.0832,TRUE
ARCX,45828,-4.5568,44,1,HTB,45826,-5.8158,1.259,0,0,FALSE,19.56,TRUE
SCHA,45828,4.08,13081751,9,GC,45826,4.08,0,0,0,FALSE,24.64,TRUE
LFGY,45828,-61.7181,14853,5,HTB,45826,-61.795,0.0769,0,0,FALSE,39.08,TRUE
TSMY,45828,-5.2729,40468,8,HTB,45826,-5.1039,-0.169,0,0,FALSE,15.74,TRUE
ADUR,45828,-5.1719,111737,9,HTB,45826,-4.8491,-0.3228,207,0,FALSE,9.94,TRUE
VOYG,45828,-2.0558,1108112,22,HTB,45826,-2.0313,-0.0245,0,0,FALSE,50.01,TRUE
SBET,45828,-265.9918,1134364,10,HTB,45826,-994.67,728.6782,3463,0,TRUE,10,TRUE
UPSX,45828,-4.0313,594,3,HTB,45826,-5.9995,1.9682,0,0,FALSE,25.8564,TRUE
GMEU,45828,-19.8687,386154,5,HTB,45826,-21.591,1.7223,0,0,FALSE,15.11,TRUE
MTX,45828,4.08,11703120,39,GC,45826,4.08,0,0,0,FALSE,53.8,TRUE
COKE,45828,4.08,11790188,33,GC,45826,4.08,0,0,0,FALSE,106.2,TRUE
ORLY,45828,4.08,192030722,45,GC,45826,4.08,0,0,0,FALSE,88.32,TRUE
AETH,45828,1.3029,237,4,HTB,45826,1.0911,0.2118,0,0,FALSE,35.61,TRUE
COMT,45828,2.6983,7738,10,HTB,45826,2.6854,0.0129,0,0,FALSE,27.47,TRUE
XRPT,45828,-11.7386,3375,7,HTB,45826,-11.6353,-0.1033,0,0,FALSE,11.49,TRUE
SFD,45828,4.08,2672535,32,GC,45826,4.08,0,0,0,FALSE,23.375,TRUE
UPXI,45828,-348.598,4885,5,HTB,45826,-345.6119,-2.9861,0,0,FALSE,10.79,TRUE
RBC,45828,4.08,8770845,36,GC,45826,4.08,0,0,0,FALSE,371.93,TRUE
COAL,45828,-14.9376,12776,6,HTB,45826,-14.9463,0.0087,0,0,FALSE,17.6538,TRUE
SOLZ,45828,-1.1039,1026,3,HTB,45826,-1.2689,0.165,0,0,FALSE,16.23,TRUE
MNTN,45828,1.674,1415039,20,HTB,45826,1.674,0,0,0,FALSE,21.04,TRUE
LTM,45828,-34.9874,898524,20,HTB,45826,-40.3315,5.3441,0,0,FALSE,38,TRUE
NVDW,45828,-7.9402,1396,5,HTB,45826,-8.6814,0.7412,0,0,FALSE,43.92,TRUE
TSLW,45828,-50.3688,4658,6,HTB,45826,-61.2982,10.9294,0,0,FALSE,35.75,TRUE
NUKZ,45828,0.8071,28892,9,HTB,45826,0.7685,0.0386,0,0,FALSE,54.47,TRUE
HNGE,45828,1.135,2116171,19,HTB,45826,1.135,0,1000,0,FALSE,39.73,TRUE
THR,45828,4.08,11127442,31,GC,45826,4.08,0,0,0,FALSE,27.27,TRUE
ITWO,45828,4.08,73184,3,GC,45826,4.08,0,0,0,FALSE,35.3315,TRUE
AGIX,45828,0.2336,15720,7,HTB,45826,0.1742,0.0594,0,0,FALSE,30.3151,TRUE
XPP,45828,0.3917,1518,6,HTB,45826,1.7515,-1.3598,0,0,FALSE,24.0587,TRUE
BLCV,45828,-10.0933,49179,6,HTB,45826,-9.5961,-0.4972,0,0,FALSE,33.463,TRUE
ARMN,45828,2.4739,9747603,14,HTB,45826,2.2063,0.2676,0,0,FALSE,6.85,TRUE
SNOY,45828,4.08,64970,8,GC,45826,4.08,0,0,0,FALSE,16.45,TRUE
BWX,45828,-7.1487,78426,11,HTB,45826,-7.154,0.0053,0,0,FALSE,23.06,TRUE
MTSR,45828,-11.8727,153277,23,HTB,45826,-14.247,2.3743,0,0,FALSE,27.71,TRUE
TRNS,45828,4.08,1763072,29,GC,45826,4.08,0,0,0,FALSE,81.09,TRUE
MCH,45828,-1.6119,8383,5,HTB,45826,-1.6119,0,0,0,FALSE,23.8816,TRUE
EPOL,45828,2.2486,2342054,13,HTB,45826,2.1503,0.0983,0,0,FALSE,29.36,TRUE
IWR,45828,4.08,15388242,16,GC,45826,4.08,0,0,0,FALSE,89.47,TRUE
CIVB,45828,4.08,3343070,33,GC,45826,4.08,0,0,0,FALSE,21.96,TRUE
BRT,45828,4.08,1745813,25,GC,45826,4.08,0,0,0,FALSE,15.92,TRUE
MDY,45828,4.08,33336,8,GC,45826,4.08,0,0,-500,FALSE,554.12,TRUE
IEI,45828,4.08,435630,13,GC,45826,4.08,0,0,0,FALSE,117.96,TRUE
QDVO,45828,-42.7022,21690,6,HTB,45826,-43.4776,0.7754,0,0,FALSE,26.84,TRUE
COWG,45828,-18.9593,85541,8,HTB,45826,-19.7758,0.8165,0,0,FALSE,34.56,TRUE
AXDXQ,45828,-1.8205,778371,6,HTB,45826,-1.8205,0,0,0,FALSE,0.01,TRUE
DFVX,45828,-28.3115,62985,2,HTB,45826,-29.0935,0.782,0,0,FALSE,67.21,TRUE
ROE,45828,-11.9103,19017,3,HTB,45826,-11.9103,0,0,0,FALSE,31.14,TRUE
SEF,45828,-5.9693,5800,6,HTB,45826,0.7154,-6.6847,0,0,FALSE,33.9161,TRUE
TDTT,45828,-5.8396,39730,5,HTB,45826,-5.1963,-0.6433,0,0,FALSE,24.09,TRUE
SDCI,45828,2.995,511,4,HTB,45826,4.08,-1.085,0,0,FALSE,22.51,TRUE
PTIN,45828,-9.8408,6335,4,HTB,45826,-10.0194,0.1786,0,0,FALSE,28.1975,TRUE
KDEF,45828,-89.8962,29011,7,HTB,45826,-84.9985,-4.8977,0,0,FALSE,40.96,TRUE
IXC,45828,-3.1174,231264,11,HTB,45826,-11.9339,8.8165,0,0,FALSE,40.34,TRUE
